pharmacy	'fɑrməsi	'fɑːməsɪ	n::药房；配药学，药剂学；制药业；一批备用药品::a shop or a part of a shop where medicines are prepared and sold	college of pharmacy::药学院；药剂学院¦pharmacy equipment::药房设备	an all-night pharmacy::通宵药店	n::药房；[药]配药学，药剂学；制药业；一批备用药品::dispensary, officina	n::pharmacist:: 药剂师¦n::pharmacopoeia:: 药典，处方书；一批备用药品¦n::pharmaceutics:: 制药学；配药学		 pharma (药) + cy (学科) → 药剂学			
augment	ɔɡ'mɛnt	ɔːg'ment	v::增加；增大::to increase the value, amount, effectiveness etc of something¦n::增加；增大::		Any surplus was sold to augment their income.::所有多余的东西被售卖一空来增加他们的收入。	vi::增加；增大::improve, gain, accelerate, make, grow in¦vt::增加；增大::enhance, boost, jack, mount, hot¦n::增加；增大::enhancement, increase, gain, rise, accession	adj::augmented:: 增广的；增音的；扩张的¦adj::augmentative:: 扩大的；增大意义的¦n::augmentation:: 增加，增大；增加物¦n::augmentative:: 用来增强词义的语句		 aug (增加) + ment → 增加			
quarrelsome	'kwɔrəlsəm	'kwɒr(ə)ls(ə)m	adj::喜欢吵架的；好争论的::someone who is quarrelsome quarrels a lot with people		He became quarrelsome after drinking too much.::他喝多了就爱找人吵架。	adj::喜欢吵架的；好争论的::disputative, litigious	n::quarrel:: 吵架；反目；怨言；争吵的原因；方头凿¦n::quarreler:: 争吵者；喜欢埋怨的人¦n::quarreller:: 争吵的人；喜欢埋怨的人¦n::quarrelsomeness:: 喜吵架¦vi::quarrel:: 吵架；争论；挑剔		 quarrel (争吵) + some (充满…的) → 她的生活中简直充满了争吵 → 喜欢吵架的			
upheave	ʌp'hi:v	ʌp'hiːv	v::鼓起；举起；使隆起::			vt::鼓起；举起；使隆起::summon up, elevate	n::upheaval:: 剧变；隆起；举起					
unaccountable	'ʌnə'kaʊntəbl	ʌnə'kaʊntəb(ə)l	adj::无责任的；莫名其妙的；不可理解的::very surprising and difficult to explain		the unaccountable shyness she always felt in Louise’s presence::她在路易丝面前总是感到的莫名羞涩¦For some unaccountable reason, he arrived a day early.::不知何故，他早到了一天。	adj::无责任的；莫名其妙的；不可理解的::indescribable, inscrutable			 un (无) + accountable (a. 可解释的) → 无法解释的			
surmise	sɝ'maɪz	sə'maɪz	v::猜测；推测::to guess that something is true, using the information you know already¦n::推测；猜度::If you say that a particular conclusion is surmise, you mean that it is a guess based on the available evidence and you do not know for certain that it is true		There's so little to go on, we can only surmise what happened.::几乎没有什么可继续进行的，我们只能猜测发生过的事。¦It is mere surmise that Bosch had Brant's poem in mind when doing this painting.::博斯画这幅画时头脑里想着勃朗特的诗，这只是猜测而已。	vt::猜测；推测::make a guess at, guess at sth¦vi::猜测；认为::consider, guess at sth¦n::推测；猜度::speculation, theory, guess, projection	adj::surmisable:: 可以推测得出的，可揣度的		 sur (下面) + mise (放) → 放下想法 → 推测			
celebrity	sə'lɛbrəti	sɪ'lebrɪtɪ	n::名人；名声::a famous living person		a sporting celebrity::体育明星¦He’s a national celebrity.::他是全国有名的人物。¦We invited a number of minor celebrities (= people who are not very famous ) .::我们邀请了一些小有名气的人物。¦celebrity chef/gardener etc::名厨/名人园艺师等	n::名人；名声::personality, lion, fame			 celebr (著名) + ity → 知名人士			
laborious	lə'bɔrɪəs	lə'bɔːrɪəs	adj::勤劳的；艰苦的；费劲的::taking a lot of time and effort		the laborious business of drying the crops::把收获的庄稼晒干这一艰苦的工作	adj::勤劳的；艰苦的；费劲的::tough, trying, rough	adj::labored:: 吃力的；费劲的；不自然的¦adj::labouring:: 劳动的；费劲的¦adv::laboriously:: 辛苦地；费力地；不流畅地¦n::labouring:: 劳动¦v::labored:: 工作；劳动；分娩（labor的过去分词）¦v::labouring:: 劳动；努力；为…所苦恼；艰难地行进（labour的ing形式）		 labor (劳动) + ious (…的) → 劳动艰苦 → 艰苦的			
petulant	'pɛtʃələnt	'petjʊl(ə)nt	adj::暴躁的；任性的；难以取悦的::behaving in an unreasonably impatient and angry way, like a child		His critics say he's just being silly and petulant.::批评他的人说，他真是又愚蠢又任性。	adj::暴躁的；任性的；难以取悦的::fierce, cranky	adv::pettishly:: 任性地；易怒地；怒气冲冲地¦adv::petulantly:: 任性地；脾气坏地¦n::petulance:: 易怒；生气；性急；暴躁		 他的宠物 (pet) 被私自借给 (lent) 别人， 让他很生气 (petulant)			
volant	'volənt	'vəʊlənt	adj::迅速的；会飞的；飞行的::¦n::(Volant)人名；(法)沃朗::			adj::迅速的；[鸟][昆]会飞的；飞行的::rapid, fast, flying, forward, ready	adj::volar:: 手掌的，足底的；属于飞行的					
degenerate	dɪ'dʒɛnəret	dɪ'dʒen(ə)rət	v::使退化；恶化::to become worse¦adj::退化的；堕落的::morally unacceptable¦n::堕落的人::someone whose behaviour is considered to be morally unacceptable		Inactivity can make your joints stiff, and the bones may begin to degenerate.::不活动会使关节僵硬，骨骼因此可能会开始退化。	vt::[数][生物]使退化；恶化::go ill, exasperate¦vi::[数][生物]退化；堕落::go to seed, retrogress¦adj::[数][生物]退化的；堕落的::fallen, degraded¦n::堕落的人::lost souls	adj::degenerative:: 退化的；变质的；退步的¦n::degeneration:: 退化；[医] 变性；堕落；恶化¦n::degeneracy:: 退化；[物] 简并；堕落；退步		 de (变坏) + gener (产生) + ate → 产生了坏东西 → 衰退， 堕落			
