pharmacy	'fɑrməsi	'fɑːməsɪ	n::药房；配药学，药剂学；制药业；一批备用药品::a shop or a part of a shop where medicines are prepared and sold	college of pharmacy::药学院；药剂学院¦pharmacy equipment::药房设备	an all-night pharmacy::通宵药店	n::药房；[药]配药学，药剂学；制药业；一批备用药品::dispensary, officina	n::pharmacist:: 药剂师¦n::pharmacopoeia:: 药典，处方书；一批备用药品¦n::pharmaceutics:: 制药学；配药学		 pharma (药) + cy (学科) → 药剂学			
compensate	'kɑmpɛnset	'kɒmpenseɪt	v::补偿，赔偿；抵消::to replace or balance the effect of something bad	compensate for::赔偿，补偿	Because my left eye is so weak, my right eye has to work harder to compensate.::因为我左眼视力差，右眼就要辛苦点来弥补一下。	vi::补偿，赔偿；抵消::make good, to make up for¦vt::补偿，赔偿；付报酬::make good, to make up for	adj::compensable:: 可补偿的；应予以补偿的¦n::compensation:: 补偿；报酬；赔偿金		 com + pens (挂； 花费) + ate → 全部给予花费 → 赔偿			
tyro	'taɪro	'taɪrəʊ	n::新手，生手；初学者::a novice or beginner 			n::新手，生手；初学者::freshman, rookie						
gargantuan	ɡɑr'ɡæntʃuən	gɑː'gæntjʊən	adj::庞大的，巨大的::extremely large		a meal of gargantuan proportions::丰盛的大餐¦gargantuan task::艰巨的任务	adj::庞大的，巨大的::enormous, huge, tremendous, massive, macro						
vicissitude	vɪ'sɪsɪtud	vɪ'sɪsɪtjuːd; vaɪ-	n::变迁；盛衰；变化无常；变迁兴衰::			n::变迁；盛衰；变化无常；变迁兴衰::flux, ups and downs						
anemia	ə'nimɪə	ə'ni:miə	n::贫血；贫血症::	aplastic anemia::[医]再生障碍性贫血¦iron deficiency anemia::缺铁性贫血¦hemolytic anemia::溶血性贫血¦pernicious anemia::n. 恶性贫血¦sickle cell anemia::[医]镰状细胞性贫血¦megaloblastic anemia::巨成红细胞性贫血	Interference with the normal production of heme or globin leads to anemia.::血红素或球蛋白的正常产生收到干扰会导致贫血。¦Perhaps the present concern with the values of liberal arts education portends an intellectual anemia.::现在关心大学文科教育的重要性也许意味着患了智力贫血症。	n::贫血；贫血症::anaemia, sickle cell disease	adj::anemic:: 患贫血症的，贫血的		 a (无) + nem (血) + ia (病) → 无血病 → 贫血			
obliterate	ə'blɪtə'ret	ə'blɪtəreɪt	v::消灭；涂去；冲刷；忘掉::to remove a thought, feeling, or memory from someone’s mind		Nothing could obliterate the memory of those tragic events.::那些悲惨事件的记忆是无法抹去的。	vt::消灭；涂去；冲刷；忘掉::destroy, kill off	n::obliteration:: 闭塞；涂去，删除；消灭¦n::obliterator:: 删除因子；混沌毁灭者		 ob (去掉) + liter (文字) + ate → 擦掉 (文字等)			
tropical	'trɑpɪkl	'trɒpɪk(ə)l	adj::热带的；热情的；酷热的::coming from or existing in the hottest parts of the world	tropical fruit::热带水果¦tropical storm::热带风暴¦tropical cyclone::热带气旋¦tropical fish::热带鱼¦tropical forest::热带森林，热带雨林；热带林¦tropical rain forest::热带雨林¦tropical medicine::热带医学¦tropical climate::热带气候，热带性气候¦tropical plant::热带植物¦tropical zone::热带；热带区域；热带载重线区¦tropical depression::热带低气压；热带气旋¦tropical region::热带地区¦tropical weather::热带气候¦tropical disease::热带病	the tropical rain forests::热带雨林¦tropical fruit::热带水果	adj::[地理]热带的；热情的；酷热的::intense, warm, hot, enthusiastic, passionate	adj::tropic:: 热带的¦adv::tropically:: 关于热带方面¦n::tropic:: 热带；回归线¦n::tropics:: 热带地区					
bulbous	'bʌlbəs	'bʌlbəs	adj::球根的；球根状的；由球根生长的（等于bulbaceous）::	bulbous plant::球根植物¦bulbous bow::球状船艏，球鼻船首			adj::bulbar:: 延髓的；球根的¦adj::bulbed:: 有球茎的；球状的¦n::bulb:: 电灯泡；鳞茎；球状物¦v::bulbed:: 生球茎；膨胀成球状（bulb的过去分词形式）¦vi::bulb:: 生球茎；膨胀成球状		来自bulb (n. 鳞茎， 球形物)			
plea	pli	pliː	n::恳求，请求；辩解，辩护；借口，托辞::a request that is urgent or full of emotion	plea bargaining::n. [法]认罪求情协议¦plea for::恳求，请求	Caldwell made a plea for donations.::考德威尔恳求捐款。	n::恳求，请求；辩解，辩护；借口，托辞::explanation, asking, request, prayer, excuse	adj::pleading:: 恳求的¦n::pleading:: 恳求；答辩；辩论，诉状¦v::pleading:: 辩护（plead的ing形式）		 不要在请求 (plea) 帮忙时才说“请 (please) ”			
vegetative	'vɛdʒə'tetɪv	'vedʒɪtətɪv; -teɪtɪv	adj::植物的；植物人状态的，无所作为的；促使植物生长的；有生长力的::relating to plants, and particularly to the way they grow or make new plants	vegetative growth::营养生长¦vegetative propagation::营养繁殖；植物无性繁殖¦persistent vegetative state::持续性植物状态；植物状态¦vegetative cell::营养细胞	She was in what was described as a vegetative state.::她处于一种被称为植物人的状态。	adj::植物的；植物人状态的，无所作为的；促使植物生长的；[生物]有生长力的::botanic, floristic	adj::vegetable:: 蔬菜的；植物的¦adj::vegetal:: 植物的，植物性的；生长的¦n::vegetation:: 植被；植物，草木；呆板单调的生活¦n::vegetable:: 蔬菜；植物；植物人¦n::vegetal:: 植物；蔬菜¦vi::vegetate:: 生长；植物似地生长；茫茫然地过日子¦vt::vegetate:: 将植物种在		来自vegetable (n. 蔬菜， 植物； 生活呆板、 单调的人)			
gossip	'ɡɑsɪp	'gɒsɪp	n::小道传闻；随笔；爱说长道短的人::someone who likes talking about other people’s private lives – used to show disapproval¦v::闲聊；传播流言蜚语::If you gossip with someone, you talk informally, especially about other people or local events. You can also say that two people gossip. 	gossip girl::绯闻少女（美国一青春偶像剧）	Rick’s a terrible gossip.::里克就爱说三道四。¦We spoke, debated, gossiped into the night.::我们交谈、争论、闲聊到夜间。¦Eva gossiped with Sarah.::伊娃与萨拉闲聊。	n::小道传闻；随笔；爱说长道短的人::essay, quidnunc¦vi::闲聊；传播流言蜚语::chat about, make conversation	n::gossiper:: 爱闲聊的人；搬弄是非者（gossip的名词形式）¦n::gossipmonger:: 爱说闲话的人，饶舌人		 “告诉不” → 这种流言还是不要告诉她的好 → 流言			
subscribe	səb'skraɪb	səb'skraɪb	v::订阅；捐款；认购；赞成；签署::to pay money, usually once a year, to have copies of a newspaper or magazine sent to you, or to have some other service		My main reason for subscribing to New Scientist is to keep abreast of advances in science.::我订阅《新科学家》的主要原因是要跟上科学的进步。	vi::订阅；捐款；[经]认购；赞成；签署::sign, donate money¦vt::签署；赞成；捐助::ink, agree, sign, uphold	n::subscription:: 捐献；订阅；订金；签署¦n::subscriber:: 订户；签署者；捐献者		 sub (下面) + scribe (写) → 签署， 写下订单 → 订购			
anhydrous	æn'haɪdrəs	æn'haɪdrəs	adj::无水的::containing no water, esp no water of crystallization 	anhydrous alcohol::无水酒精¦anhydrous ammonia::无水氨¦anhydrous sodium sulfate::无水硫酸钠¦anhydrous sodium carbonate::无水碳酸钠	It is prepared by reacting anhydrous ammonia and carbon dioxide gas under very high pressure in the presence of a suitable catalyst.::它是在某种催化剂参与下，由无水氨和二氧化碳气体在高压条件下反应生成的。¦During ionic polymerization and group transfer polymerization, the absolute need to be transferred to the reactor anhydrous reagents.::在进行离子型聚合和基团转移聚合时，需要将绝对无水试剂转移到反应装置。¦Such vegetal essences as yeast and peony and anhydrous caffeine can constantly take effect in sensitive eye skin and restrain the production of melanin.::酵母精华、牡丹精华等植物精华与无水咖啡因能持续作用于敏感的眼部肌肤，同时抑制黑色素的生成。	adj::[化学]无水的::anh, water-free, non-aqueous			 an (无， 不) + hydr (水) + ous → 无水的			
arbitrate	'ɑrbɪtret	'ɑːbɪtreɪt	v::仲裁；公断::to officially judge how an argument between two opposing sides should be settled		He arbitrates between investors and members of the association.::他在投资者与该协会成员之间做仲裁。	vt::仲裁；公断::umpire	adj::arbitral:: 仲裁的；仲裁人的¦adj::arbitrable:: 可仲裁的，可裁决的¦adj::arbitrational:: 关于仲裁的¦adj::arbitrative:: 有权仲裁的¦n::arbitration:: 公断，仲裁¦n::arbitrage:: 套汇，套利；仲裁¦n::arbiter:: [法] 仲裁者；裁决人¦n::arbitrator:: 公断人，仲裁人¦n::arbitrament:: 仲裁；仲裁结论；裁决权		 arbitr (判断， 裁决) + ate (使) → 使公平裁决 → 做出公断			
butt	bʌt	bʌt	n::屁股；烟头；笑柄；靶垛；粗大的一端::the part of your body that you sit on¦v::以头抵撞；碰撞::to hit or push against something or someone with your head	butt joint::对接；对接接头¦butt welding::对接焊；电阻对焊¦butt weld::对接焊缝；对头焊接¦butt welded::[科]对接焊接的¦butt in::[俚]插手；插嘴；闯进¦butt welder::对接焊机；对焊机¦butt welding machine::对焊机¦head butt::用头撞击；头击，用脑袋撞¦cigarette butt::烟蒂	a baby’s soft little butt::宝宝软软的小屁股	n::屁股；烟头；笑柄；靶垛；粗大的一端::behind, joke, ass, rear¦vt::以头抵撞；碰撞::hit, impact on			 把但是 (but) 这么简单的单词写成butt会沦为别人的笑柄 (butt)			
bibulous	'bɪbjʊləs	'bɪbjʊləs	adj::吸水的；嗜酒的::liking to drink too much alcohol – sometimes used humorously		Therefore, to choose bibulous rate small insulation materials.::因此，要选择吸水率小的绝热材料。¦But it can control the bibulous of handsheet in the demanding range through accession suitable waterproof.::但通过添加适量的防水剂可以使纸板的吸水值在要求的范围内。¦Judgement ceramic tile is bibulous the way that leads on any account is very simple, want a water only, observe whether it is absorbed quickly.::判定瓷砖吸水率高低的办法很简单，只要在样品瓷砖的背面滴上一滴水，观察它是否能迅速地吸收。	adj::吸水的；嗜酒的::hydrophil, boozy			 bibul (喝) + ous → 好喝酒的 → 嗜酒的			
hierarchy	'haɪərɑrki	'haɪərɑːkɪ	n::层级；等级制度::a system of organization in which people or things are divided into levels of importance	social hierarchy::社会等级；社会阶层¦hierarchy system::体系；分级系统¦inheritance hierarchy::继承层次；继承体系；继承阶层架构¦hierarchy of needs::需要层次；需求层次理论¦knowledge hierarchy::知识体系¦hierarchy of needs theory::需要层次理论；需要阶梯理论¦object hierarchy::对象阶层架构；对象层次结构¦feudal hierarchy::封建等级制度	a rigid social hierarchy::严格的社会等级制度¦She worked her way up through the corporate hierarchy to become president.::她在公司一步一步升到了总裁的位置。		adj::hierarchical:: 分层的；等级体系的¦adv::hierarchically:: 分层次，分等级地		 她的 (her) 王宫是拱形的 (archy) → 统治集团			
pea	pi	piː	n::豌豆::a round green seed that is cooked and eaten as a vegetable, or the plant on which these seeds grow	green pea::嫩豌豆；青豌豆¦garden pea::豌豆，青豆¦pea soup::干碗豆汤；浓豌豆汤¦sweet pea::n. [植]香豌豆；[植]麝香豌豆花	roast chicken with peas and carrots::烤鸡配豌豆胡萝卜	n::[作物]豌豆::pease						
impede	ɪm'pid	ɪm'piːd	v::阻碍；妨碍；阻止::to make it difficult for someone or something to move forward or make progress		Storms at sea impeded our progress.::海上风暴阻碍了我们的航程。	vt::阻碍；妨碍；阻止::dispute, let, stem, slow	n::impediment:: 口吃；妨碍；阻止¦n::impedance:: [电] 阻抗		 im (在…中) + ped (脚) + e → 在…中插一脚 → 妨碍			
exceed	ɪk'sid	ɪk'siːd; ek-	v::超过；胜过::to be more than a particular number or amount	exceed in::在…方面超过	Working hours must not exceed 42 hours a week.::工作时间每周不得超过42小时。¦His performance exceeded our expectations.::他的表现出乎我们的预料。	vt::超过；胜过::better than, overcome, top, cap, outdo	adj::exceeding:: 超越的；非常的；过度的¦adv::exceedingly:: 非常；极其；极度地；极端¦v::exceeding:: 超过；占优势（exceed的ing形式）		 ex (出) + ceed (去) → 超出去 → 超过			
legible	'lɛdʒəbl	'ledʒɪb(ə)l	adj::清晰的；易读的；易辨认的::written or printed clearly enough for you to read		Her handwriting was so tiny it was barely legible.::她的字写得这么小，简直都看不清楚。	adj::清晰的；易读的；易辨认的::defined, plain	adv::legibly:: 明了地；易读地¦n::legibility:: 易读性；易辨认		 leg(读) + ible(可…的) → 易读的			
sedate	si'deit	sɪ'deɪt	adj::安静的；沉着的::calm, serious, and formal¦v::给…服镇静剂::to give someone drugs to make them calm or to make them sleep		a sedate seaside town::宁静的海边小镇¦The wedding was rather a sedate occasion.::婚礼上气氛庄重。	adj::安静的；沉着的::quiet, composed, calm, steady, tranquil	adj::sedative:: 使镇静的；使安静的¦adv::sedately:: 安详地；镇静地¦n::sedative:: [药] 镇静剂；能使安静的东西；止痛药¦n::sedation:: 镇静；镇静作用；镇静状态¦n::sedateness:: 安详；镇静		 sed ( = sid， 坐下) + ate → 坐下来的 → 安静的			
exclude	ɪk'sklʊd	ɪk'skluːd; ek-	v::排除；排斥；拒绝接纳；逐出::to deliberately not include something		a special diet that excludes dairy products::不包含奶制品的特别食谱¦The judges decided to exclude evidence which had been unfairly attained.::法官裁决不接纳以不正当手段获取的证据。	vt::排除；排斥；拒绝接纳；逐出::preclude, rule out	adj::exclusive:: 独有的；排外的；专一的¦adv::exclusively:: 唯一地；专有地；排外地¦n::exclusive:: 独家新闻；独家经营的项目；排外者¦n::exclusion:: 排除；排斥；驱逐；被排除在外的事物¦n::exclusiveness:: 排他性；排外性；独占	include	 ex (出) + clude (关) → 排斥			
archbishop	,ɑrtʃ'bɪʃəp	ɑːtʃ'bɪʃəp; 'ɑːtʃ-	n::大主教；总教主::a priest of the highest rank, who is in charge of all the churches in a particular area		When I speak to my archbishop in San Francisco and his role is to try to change my mind on the subject, well then he is exercising his pastoral duty to me as one of his flock.::我在旧金山和我的大主教谈话时，他的任务是努力改变我在那个主题上的看法，那时，他是把我当作他的一只羔羊在实践其牧师的职责。¦Only once, and then obliquely, were the uncounted mass of Iraqi dead referred to, when the archbishop prayed for "those whose memory we cherish, and those whose names we will never know".::大主教只有一次、而且是拐弯抹角地提到了不可胜数的死去的伊拉克人，他为“那些受我们怀念的人，以及那些我们永远都不知道名字的人”做了祈祷。	n::大主教；总教主::primate, metropolitan	n::archbishopric:: 大主教之职；大主教的管区		 arch (统治者) + bishop (主教) → 统治主教的人 → 大主教			
scuttle	'skʌtl	'skʌt(ə)l	n::天窗；煤桶；筐::a container for carrying coal¦v::逃避；急促地跑::		A little lizard scuttled across the path.::一条小蜥蜴急急地从路上爬过。	n::[建]天窗；煤桶；筐::skylight, clerestory¦vi::逃避；急促地跑::get out of, run from¦vt::使船沉没；破坏::destroy, undermine			 凿 (cut) 洞沉船 (scuttle)			
bestial	'bɛtʃəl	'bestɪəl	adj::兽性的，卑劣的；残忍的；野蛮的::behaving like an animal, especially in a cruel way¦n::牛::		bestial and barbaric acts::凶残野蛮的行为	adj::兽性的，卑劣的；残忍的；野蛮的::wild, cruel¦n::牛::cattle, ox, moo-cow	adv::bestially:: 残忍地；野兽地¦n::bestiality:: 兽性；兽行；人兽性交¦vt::bestialize:: 使行动如禽兽一般；使野蛮		来自beast (n. 野兽)			
bucolic	bjuːˈkɑːlɪk	bjuː'kɒlɪk	adj::牧歌的；牧羊的；乡下风味的::Bucolic means relating to the countryside¦n::田园诗；农夫::		...the bucolic surroundings of Chantilly.::...尚蒂伊的田园景致。	adj::牧歌的；牧羊的；乡下风味的::idyllic¦n::田园诗；农夫::farmer, idyll			 buc (牛) + olic (养…的) → 养牛的 → 牧歌的			
exhume	ɪɡ'zum	eks'(h)juːm; ɪg'zjuːm	v::发掘；掘出::to remove a dead body from the ground, especially in order to check the cause of death¦n::(Exhume)人名；(法)埃克叙姆::		His remains have been exhumed from a cemetery in Queens.::他的遗体已被从昆士郡的一个墓地里挖了出来。	vt::发掘；掘出::unearth, disentomb	n::exhumation:: 发掘；尸体发掘；掘尸		 ex (出) + hume (地) → 从地下掘出 → 掘出			
conceivable	kən'sivəbl	kən'siːvəb(ə)l	adj::可能的；想得到的，可想像的::able to be believed or imagined		It is conceivable that you may get full compensation, but it’s not likely.::你可能会得到全额赔偿，但可能性不大。¦We were discussing the problems from every conceivable angle.::我们正在从各个能想到的角度对问题进行讨论。	adj::可能的；想得到的，可想像的::feasible, possible, potential, desired	adv::conceivably:: 令人信服地；可相信地；想得到地¦n::conceivability:: 可想象；想得到		来自conceive (v. 考虑， 设想)			
reasoning	'rizənɪŋ	'riːz(ə)nɪŋ	n::推理；论证；评理::a process of thinking carefully about something in order to make a judgment¦adj::推理的::¦v::推论；说服（reason的ing形式）::	logical reasoning::逻辑推理¦reasoning ability::推理能力¦inductive reasoning::归纳推理；归纳法¦moral reasoning::道德推理；道德理性¦deductive reasoning::演绎推理，演绎推论；演绎法¦analogical reasoning::类比推理¦reasoning test::推理测验	...the reasoning behind the decision.::…该决定背后的论证。	n::推理；论证；评理::argument, inference¦adj::推理的::theoretical, inferential¦v::推论；说服（reason的ing形式）::urging	adj::reasonable:: 合理的，公道的；通情达理的¦adj::reasoned:: 详尽论述的；理由充分的；合乎逻辑的¦adj::reasonless:: 不合理的；不理智的，无理性的；无推理能力的¦adv::reasonably:: 合理地；相当地；适度地¦n::reason:: 理由；理性；动机¦n::reasonableness:: 合理；妥当¦v::reasoned:: 说服；推断（reason的过去分词）¦vi::reason:: 推论；劝说¦vt::reason:: 说服；推论；辩论					
acquittal	ə'kwɪtl	ə'kwɪtəl	n::赦免；无罪开释；履行；尽职；（债务等的）清偿::		...the acquittal of six police officers charged with beating up a suspect.::…对被控殴打一嫌疑犯的６名警官作出的无罪判决。	n::赦免；无罪开释；履行；尽职；（债务等的）清偿::implementation, tender, fulfillment	adj::acquitted:: 无罪；无罪开释¦v::acquitted:: 释放（acquit的过去分词）¦vt::acquit:: 无罪释放；表现；脱卸义务和责任；清偿		 原告放弃 (quit) 起诉， 被告被宣判无罪 (acquittal)			
enthusiast	ɪn'θuzɪæst	ɪn'θjuːzɪæst; en-	n::狂热者，热心家::someone who is very interested in a particular activity or subject			n::狂热者，热心家::Wild Ginger, zealot	adj::enthusiastic:: 热情的；热心的；狂热的¦adv::enthusiastically:: 热心地；满腔热情地		 enthus (热心) + iast → 热心家			
sulfur	'sʌlfɚ	'sʌlfə	v::用硫磺处理::¦n::硫磺；硫磺色::	sulfur dioxide::二氧化硫¦sulfur content::含硫量，硫分；硫含量¦total sulfur::全硫¦sulfur trioxide::三氧化硫（等于sulphur trioxide）¦elemental sulfur::元素硫¦sulfur hexafluoride::[化]六氟化硫¦sulfur oxide::氧化硫¦sulfur acid::含硫酸¦sulfur cycle::硫循环		vt::用硫磺处理::sulphur¦n::硫磺；硫磺色::sulphur, brenstone	adj::sulfuric:: 硫磺的；含多量硫磺的；含（六价）硫的¦adj::sulfuretted:: 含硫磺的；被硫化的¦adj::sulfurous:: 硫磺的；含有硫磺的¦n::sulfate:: [无化] 硫酸盐¦v::sulfuretted:: 使同硫化合（sulfuret的过去式）¦vi::sulfate:: 硫酸盐化¦vt::sulfate:: 使成硫酸盐；用硫酸处理；使在上形成硫酸铅沉淀					
mellifluous	mɛ'lɪfluəs	me'lɪflʊəs	adj::流畅的；如蜜般的::		I grew up around people who had wonderful, mellifluous voices.::我是在一群有着悦耳动听嗓音的人周围长大的。	adj::流畅的；如蜜般的::fluid, fluent			 melli (蜂蜜) + flu (流) + ous → 流蜜的 → 如蜜般的			
force	fɔrs	fɔːs	n::力量；武力；军队；魄力::military action used as a way of achieving your aims¦v::促使，推动；强迫；强加::to make someone do something they do not want to do	by force::强迫地；靠武力；凭藉暴力¦driving force::驱动力，推动力¦in force::有效的；大批地；大规模地¦labour force::n. 劳动力¦labor force::劳动力¦air force::空军¦motive force::动力；起动力，原动力¦force on::强加于， 强迫...接受¦main force::主力；主力军；主力部队¦internal force::内力¦cutting force::切削力；割削力¦force majeure::不可抗力¦centrifugal force::离心力；地心引力¦axial force::轴向力¦task force::特遣部队；特别小组¦sales force::销售力量，推销人员¦work force::n. 劳动力，劳动大军；劳动人口；（工厂等在职的）工人总数；职工总数¦magnetic force::[物]磁力¦police force::警察；警察机关¦friction force::摩擦力	Peace cannot be imposed by force .::和平不能通过武力来实现。¦The UN will allow the use of force against aircraft violating the zone.::联合国将允许对侵犯这一地区的飞机采取军事行动。	n::力量；武力；军队；魄力::strength, might, army, sword, muscle¦vt::促使，推动；强迫；强加::bring, drive	adj::forced:: 被迫的；强迫的¦adj::forceful:: 强有力的；有说服力的；坚强的¦adv::forcefully:: 强有力地；激烈地；有说服力地¦n::forcefulness:: 有力；坚强¦v::forced:: 强迫（force的过去式）					
petrify	'pɛtrɪfaɪ	'petrɪfaɪ	v::石化；惊呆::				adj::petrified:: 惊呆的；目瞪口呆的¦adj::petrochemical:: 石化的¦n::petrochemical:: 石油化学产品¦n::petrifaction:: 石化；化石；吓呆¦v::petrified:: 使石化；变僵硬；发呆（petrify的过去分词）		 petr (石头) + ify (使…) → 使石化			
linguistics	lɪŋ'ɡwɪstɪks	lɪŋ'gwɪstɪks	n::语言学::the study of language in general and of particular languages, their structure, grammar, and history	cognitive linguistics::认知语言学¦applied linguistics::应用语言学；运用语言学¦corpus linguistics::语料库语言学¦computational linguistics::计算语言学¦social linguistics::社会语言学¦text linguistics::话语语言学¦linguistics and applied linguistics::语言学及应用语言学¦general linguistics::普通语言学¦historical linguistics::历史语言学¦comparative linguistics::比较语言学	Out with every theory of human behavior, from linguistics to sociology.::从语言学、社会学的人类行为原理里解脱吧。¦It took three hours for the doctor of linguistics to tell us this. Again I quit.::关于这一点，这个语言学博士足足讲了三个小时，我再次退出了。¦Then we have research center in Grenoble, France where the focus is all on linguistics, machine learning.::我们在法国格勒诺布尔也有研究中心,研究重点是语言学和机器学习。	n::[语]语言学::glossology, Descriptive Linguistics	adj::linguistic:: 语言的；语言学的¦adj::lingual:: 语言的；舌的，舌音的¦adv::linguistically:: 语言的；语言学方面¦n::linguist:: 语言学家¦n::lingual:: 舌音，舌音字					
neology	ni'ɑlədʒi	niː'ɒlədʒɪ	n::新词；旧词新义（等于neologism）::			n::新词；旧词新义（等于neologism）::new words	abbr::ne:: 不超过…（的）（not exceeding）¦adj::ne:: 旧姓的；原名的；Niger，尼日尔¦n::neologism:: 新词；新义；新词的使用¦n::neologist:: 新教义信奉者；新语创造者；新语使用者					
onus	'onəs	'əʊnəs	n::责任，义务；负担::the responsibility for something	onus probandi::（拉）举证责任¦onus of proof::举证责任	The onus is on companies and consumers to keep up with anti-virus updates.::公司和用户有责任跟上杀毒软件的更新。	n::责任，义务；负担::liability, duty, burden, obligation, weight			 on + us → 在我们身上的“责任” → 责任			
misdeed	,mɪs'did	mɪs'diːd	n::罪行；犯罪::		He now repents of his past misdeeds.::他现在对自己过去犯下的种种恶行感到懊悔。	n::罪行；犯罪::crime, guilt			 mis (坏) + deed (行为) → 坏行为 → 罪行， 犯罪			
ecosystem	'ɛko,sɪstəm	'iːkəʊsɪstəm	n::生态系统::all the animals and plants in a particular area, and the way in which they are related to each other and to their environment	natural ecosystem::自然生态系统¦terrestrial ecosystem::陆地生态系统¦agricultural ecosystem::农业生态系统¦ecosystem structure::生态系统结构¦ecosystem function::生态系统功能¦artificial ecosystem::人工生态系统¦ecosystem ecology::生态系统；生态学¦ecosystem type::生态系统型	...the forest ecosystem.::…森林生态系统。	n::[生态]生态系统::ecological constellation, ecological systems			 eco (生态) + system (系统) → 生态系统			
disinfect	'dɪsɪn'fɛkt	dɪsɪn'fekt	v::将…消毒::to clean something with a chemical that destroys  bacteria 		First use some iodine to disinfect the wound.::先用碘酒给伤口消毒。¦Disinfect the area thoroughly.::把这个区域彻底消毒。		adj::disinfectant:: 消毒的¦n::disinfectant:: 消毒剂¦n::disinfection:: 消毒，杀菌		 dis (分离) + infect (感染) → 消毒			
glimmer	'ɡlɪmɚ	'glɪmə	n::微光；闪光；少许::a light that is not very bright¦v::闪烁；发微光::to shine with a light that is not very bright		In the east there is the slightest glimmer of light.::东方有一丝闪烁的微光。	n::微光；闪光；少许::little, touch¦vi::闪烁；发微光::spark, coruscate	adj::glimmering:: 微弱地发光的；薄弱地发光的¦n::glimmering:: 微光；隐约的一瞥		 闪光 (glimmer) 很耀眼 (glitter)			
vegetation	'vɛdʒə'teʃən	vedʒɪ'teɪʃ(ə)n	n::植被；植物，草木；呆板单调的生活::plants in general	natural vegetation::自然植被，天然植物羣¦vegetation cover::植被（覆盖）；植物覆盖层¦vegetation type::植被型，植被种类¦vegetation succession::植被演替；植被接续¦riparian vegetation::河岸植被，岸栖植物	Lefkas has an abundance of lush green vegetation.::莱夫卡斯有葱郁茂盛的植被。	n::植被；植物，[植]草木；呆板单调的生活::plant, vegetative cover	adj::vegetable:: 蔬菜的；植物的¦adj::vegetative:: 植物的；植物人状态的，无所作为的；促使植物生长的；有生长力的¦adj::vegetal:: 植物的，植物性的；生长的¦n::vegetable:: 蔬菜；植物；植物人¦n::vegetal:: 植物；蔬菜¦vi::vegetate:: 生长；植物似地生长；茫茫然地过日子¦vt::vegetate:: 将植物种在		来自vegetable (n. 蔬菜， 植物； 生活呆板、 单调的人)			
remainder	rɪ'mendɚ	rɪ'meɪndə	n::[数] 余数，残余；剩余物；其余的人::the part of something that is left after everything else has gone or been dealt with¦adj::剩余的；吃剩的::¦v::廉价出售；削价出售::	for the remainder of::余下的岁月里¦remainder theorem::余式定理¦chinese remainder theorem::孙子剩余定理¦remainder term::余项	The remainder must be paid by the end of June.::剩余款项必须在6月底之前支付。	n::余数，残余；[数]剩余物；其余的人::leaving, arithmetical compliment¦adj::[数]剩余的；吃剩的::surplus, residual, odd¦vt::廉价出售；削价出售::bargain sale, undercut¦vi::廉价出售；削价出售::bargain sale	n::remain:: 遗迹；剩余物，残骸¦n::remains:: 残余；遗骸¦vi::remain:: 保持；依然；留下；剩余；逗留；残存					
affluent	'æfluənt	'æflʊənt	adj::富裕的；丰富的；流畅的::having plenty of money, nice houses, expensive things etc¦n::支流；富人::The affluent are people who are affluent	affluent society::小康社会；富足社会	affluent families::富裕的家庭¦The diet of the affluent has not changed much over the decades.::富人的饮食数十年来没怎么变。	adj::富裕的；丰富的；流畅的::abundant, fluid, full, fluent, luxurious¦n::[地理][水文]支流；富人::branch, distributary	n::affluence:: 富裕；丰富；流入；汇聚		 af (不断) + flu (流) + ent → 富得流油 → 丰富的， 富裕的			
exact	ɪɡ'zækt	ɪg'zækt; eg-	adj::准确的，精密的；精确的::completely correct in every detail¦v::要求；强求；急需::to demand and get something from someone by using threats, force etc	the exact same::[非规范用语]正是同一个，正是这个；完全相同的¦exact solution::精确解¦exact science::精密科学（如数学、物理学、化学等）¦exact measurement::精密测量¦be more exact::更确切地（说）¦exact in::对…很严谨¦exact value::精确值，准确值¦exact match::准确匹配¦exact quantity::确数；正确的数量¦exact test::精密试验¦exact formula::精密公式	Police are still investigating the exact cause of the accident.::警方还在调查这起事故的确切原因。¦What were his exact words?::他的原话是什么？¦The timing had to be exact.::对时机的把握必须精确。¦Some concepts in Chinese medicine have no exact equivalent in Western medicine.::中医的一些概念在西医中没有完全一样的对应观念。	adj::准确的，精密的；精确的::nice, accurate, precise, mathematical, strict¦vt::要求；强求；急需::require, desire, call for	adj::exacting:: 严格的；苛求的；吃力的¦adv::exactly:: 恰好地；正是；精确地；正确地¦n::exactitude:: 正确，精确；严格，规规矩矩¦n::exaction:: 强求；勒索；榨取；苛捐杂税¦n::exactness:: 正确；精确¦v::exacting:: 逼取；急需（exact的ing形式）		 ex (出) + act (做) → 都出来干活， 急需人手 → 急需			
disseminate	dɪ'sɛmɪnet	dɪ'semɪneɪt	v::宣传，传播；散布::to spread information or ideas to as many people as possible		Her findings have been widely disseminated .::她的发现已广为传播。	vt::宣传，传播；散布::distribute, publicize, transmit¦vi::散布；广为传播::shed, put about	adj::disseminative:: 传播的；散布的¦n::dissemination:: 宣传；散播；传染（病毒）¦n::disseminator:: 传播者；撒种者		 dis (分离) + semin (种子) + ate → 种子都分离开 → 散布			
